
2318	FLNC	filamin C [Source:HGNC Symbol;Acc:HGNC:3756]																					
65263	PYCR3	pyrroline-5-carboxylate reductase 3 [Source:HGNC Symbol;Acc:HGNC:25846]																					
10120	ACTR1B	actin related protein 1B [Source:HGNC Symbol;Acc:HGNC:168]																					
65083	NOL6	nucleolar protein 6 [Source:HGNC Symbol;Acc:HGNC:19910]																					
5781	PTPN11	protein tyrosine phosphatase non-receptor type 11 [Source:HGNC Symbol;Acc:HGNC:9644]																					
217	ALDH2	aldehyde dehydrogenase 2 family member [Source:HGNC Symbol;Acc:HGNC:404]																					
2316	FLNA	filamin A [Source:HGNC Symbol;Acc:HGNC:3754]																					
85440	DOCK7	dedicator of cytokinesis 7 [Source:HGNC Symbol;Acc:HGNC:19190]																					
10552	ARPC1A	actin related protein 2/3 complex subunit 1A [Source:HGNC Symbol;Acc:HGNC:703]																					
10594	PRPF8	pre-mRNA processing factor 8 [Source:HGNC Symbol;Acc:HGNC:17340]																					
10694	CCT8	chaperonin containing TCP1 subunit 8 [Source:HGNC Symbol;Acc:HGNC:1623]																					
10910	SUGT1	SGT1 homolog, MIS12 kinetochore complex assembly cochaperone [Source:HGNC Symbol;Acc:HGNC:16987]																					
10971	YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta [Source:HGNC Symbol;Acc:HGNC:12854]																					
1778	DYNC1H1	dynein cytoplasmic 1 heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:2961]																					
2098	ESD	esterase D [Source:HGNC Symbol;Acc:HGNC:3465]																					
23256	SCFD1	sec1 family domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20726]																					
25873	RPL36	ribosomal protein L36 [Source:HGNC Symbol;Acc:HGNC:13631]																					
291	SLC25A4	solute carrier family 25 member 4 [Source:HGNC Symbol;Acc:HGNC:10990]																					
3308	HSPA4	heat shock protein family A (Hsp70) member 4 [Source:HGNC Symbol;Acc:HGNC:5237]																					
4627	MYH9	myosin heavy chain 9 [Source:HGNC Symbol;Acc:HGNC:7579]																					
4670	HNRNPM	heterogeneous nuclear ribonucleoprotein M [Source:HGNC Symbol;Acc:HGNC:5046]																					
51510	CHMP5	charged multivesicular body protein 5 [Source:HGNC Symbol;Acc:HGNC:26942]																					
5162	PDHB	pyruvate dehydrogenase E1 subunit beta [Source:HGNC Symbol;Acc:HGNC:8808]																					
55699	IARS2	isoleucyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:29685]																					
56893	UBQLN4	ubiquilin 4 [Source:HGNC Symbol;Acc:HGNC:1237]																					
6135	RPL11	ribosomal protein L11 [Source:HGNC Symbol;Acc:HGNC:10301]																					
6156	RPL30	ribosomal protein L30 [Source:HGNC Symbol;Acc:HGNC:10333]																					
6202	RPS8	ribosomal protein S8 [Source:HGNC Symbol;Acc:HGNC:10441]																					
6227	RPS21	ribosomal protein S21 [Source:HGNC Symbol;Acc:HGNC:10409]																					
6228	RPS23	ribosomal protein S23 [Source:HGNC Symbol;Acc:HGNC:10410]																					
6500	SKP1	S-phase kinase associated protein 1 [Source:HGNC Symbol;Acc:HGNC:10899]																					
7203	CCT3	chaperonin containing TCP1 subunit 3 [Source:HGNC Symbol;Acc:HGNC:1616]																					
7415	VCP	valosin containing protein [Source:HGNC Symbol;Acc:HGNC:12666]																					
7533	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta [Source:HGNC Symbol;Acc:HGNC:12853]																					
7555	CNBP	CCHC-type zinc finger nucleic acid binding protein [Source:HGNC Symbol;Acc:HGNC:13164]																					
7919	DDX39B	DExD-box helicase 39B [Source:HGNC Symbol;Acc:HGNC:13917]																					
79902	NUP85	nucleoporin 85 [Source:HGNC Symbol;Acc:HGNC:8734]																					
85456	TNKS1BP1	tankyrase 1 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:19081]																					
87	ACTN1	actinin alpha 1 [Source:HGNC Symbol;Acc:HGNC:163]																					
92906	HNRNPLL	heterogeneous nuclear ribonucleoprotein L like [Source:HGNC Symbol;Acc:HGNC:25127]																					
9656	MDC1	mediator of DNA damage checkpoint 1 [Source:HGNC Symbol;Acc:HGNC:21163]																					
9904	RBM19	RNA binding motif protein 19 [Source:HGNC Symbol;Acc:HGNC:29098]																					
